image_name,strategy,direct_accuracy,neighbor_accuracy,ssim
image_1.jpg,random,0.0156,0.1429,0.1461
image_1.jpg,center_fixed,0.0312,0.2321,0.1542
image_1.jpg,boundary_fixed,0.5469,0.4196,0.5799
image_1.jpg,random_fixed_3,0.0938,0.1964,0.1863
image_1.jpg,random_fixed_6,0.2812,0.2679,0.3513
image_1.jpg,random_fixed_9,0.2969,0.1696,0.3727
image_10.jpg,random,0.0469,0.2679,0.4582
image_10.jpg,center_fixed,0.0312,0.2857,0.4160
image_10.jpg,boundary_fixed,0.5156,0.4018,0.7435
image_10.jpg,random_fixed_3,0.2031,0.2589,0.5346
image_10.jpg,random_fixed_6,0.2188,0.3750,0.4817
image_10.jpg,random_fixed_9,0.4219,0.3304,0.7341
image_100.jpg,random,0.0312,0.2679,0.5771
image_100.jpg,center_fixed,0.0469,0.2321,0.5760
image_100.jpg,boundary_fixed,0.6406,0.5179,0.8015
image_100.jpg,random_fixed_3,0.1875,0.2768,0.5981
image_100.jpg,random_fixed_6,0.2188,0.3214,0.6420
image_100.jpg,random_fixed_9,0.4219,0.3482,0.7925
image_11.jpg,random,0.0156,0.2232,0.3506
image_11.jpg,center_fixed,0.0469,0.2768,0.4405
image_11.jpg,boundary_fixed,0.8438,0.7411,0.9402
image_11.jpg,random_fixed_3,0.5938,0.5000,0.8026
image_11.jpg,random_fixed_6,0.3594,0.3125,0.6106
image_11.jpg,random_fixed_9,0.4531,0.3214,0.6964
image_12.jpg,random,0.0312,0.2321,0.5248
image_12.jpg,center_fixed,0.0469,0.2054,0.6699
image_12.jpg,boundary_fixed,0.7031,0.6161,0.8186
image_12.jpg,random_fixed_3,0.1094,0.2054,0.6478
image_12.jpg,random_fixed_6,0.3125,0.2589,0.7190
image_12.jpg,random_fixed_9,0.4219,0.3214,0.7478
image_13.jpg,random,0.0000,0.2054,0.5533
image_13.jpg,center_fixed,0.6094,0.5446,0.8410
image_13.jpg,boundary_fixed,0.7812,0.6339,0.8528
image_13.jpg,random_fixed_3,0.2344,0.3304,0.6430
image_13.jpg,random_fixed_6,0.2812,0.2589,0.6695
image_13.jpg,random_fixed_9,0.2969,0.2411,0.6671
image_14.jpg,random,0.0469,0.1607,0.6163
image_14.jpg,center_fixed,0.1406,0.1875,0.7517
image_14.jpg,boundary_fixed,0.6094,0.4643,0.8415
image_14.jpg,random_fixed_3,0.1562,0.1786,0.6559
image_14.jpg,random_fixed_6,0.1406,0.1161,0.6893
image_14.jpg,random_fixed_9,0.3906,0.2768,0.8017
image_15.jpg,random,0.0000,0.2321,0.4218
image_15.jpg,center_fixed,0.0156,0.1518,0.4205
image_15.jpg,boundary_fixed,0.5781,0.4554,0.7584
image_15.jpg,random_fixed_3,0.1719,0.2321,0.5360
image_15.jpg,random_fixed_6,0.3438,0.2500,0.6797
image_15.jpg,random_fixed_9,0.4062,0.2143,0.7402
image_16.jpg,random,0.0156,0.2946,0.4503
image_16.jpg,center_fixed,0.0312,0.3214,0.4650
image_16.jpg,boundary_fixed,0.7188,0.5179,0.8371
image_16.jpg,random_fixed_3,0.1250,0.2679,0.5693
image_16.jpg,random_fixed_6,0.3750,0.3571,0.7368
image_16.jpg,random_fixed_9,0.4531,0.4286,0.8184
image_17.jpg,random,0.0000,0.2500,0.5888
image_17.jpg,center_fixed,0.0469,0.1339,0.6566
image_17.jpg,boundary_fixed,0.7031,0.6339,0.8925
image_17.jpg,random_fixed_3,0.0938,0.1696,0.6861
image_17.jpg,random_fixed_6,0.2188,0.2411,0.7221
image_17.jpg,random_fixed_9,0.4531,0.4107,0.8450
image_18.jpg,random,0.0000,0.2768,0.0404
image_18.jpg,center_fixed,0.1875,0.2946,0.2232
image_18.jpg,boundary_fixed,0.6719,0.5625,0.6779
image_18.jpg,random_fixed_3,0.1719,0.2768,0.2185
image_18.jpg,random_fixed_6,0.1875,0.2143,0.2307
image_18.jpg,random_fixed_9,0.2656,0.2232,0.3164
image_19.jpg,random,0.0156,0.3036,0.0977
image_19.jpg,center_fixed,0.2031,0.3214,0.2631
image_19.jpg,boundary_fixed,0.7812,0.6429,0.8000
image_19.jpg,random_fixed_3,0.1250,0.2321,0.1930
image_19.jpg,random_fixed_6,0.3438,0.3393,0.3868
image_19.jpg,random_fixed_9,0.5781,0.4911,0.6373
image_2.jpg,random,0.0000,0.2321,0.7830
image_2.jpg,center_fixed,0.1406,0.2054,0.8390
image_2.jpg,boundary_fixed,0.6094,0.4732,0.9246
image_2.jpg,random_fixed_3,0.1719,0.2054,0.8033
image_2.jpg,random_fixed_6,0.2188,0.2500,0.8285
image_2.jpg,random_fixed_9,0.3750,0.2679,0.8898
image_20.jpg,random,0.0781,0.2768,0.7014
image_20.jpg,center_fixed,0.0469,0.2857,0.8168
image_20.jpg,boundary_fixed,0.5156,0.4375,0.8588
image_20.jpg,random_fixed_3,0.1406,0.2143,0.8052
image_20.jpg,random_fixed_6,0.2188,0.1250,0.8008
image_20.jpg,random_fixed_9,0.3438,0.2768,0.8522
image_21.jpg,random,0.0000,0.1696,0.1405
image_21.jpg,center_fixed,0.0156,0.1607,0.1353
image_21.jpg,boundary_fixed,0.5938,0.5000,0.5873
image_21.jpg,random_fixed_3,0.1250,0.2321,0.2099
image_21.jpg,random_fixed_6,0.2188,0.1518,0.3144
image_21.jpg,random_fixed_9,0.2812,0.2500,0.3745
image_22.jpg,random,0.0156,0.3482,0.4313
image_22.jpg,center_fixed,0.0781,0.3304,0.4487
image_22.jpg,boundary_fixed,0.9062,0.8393,0.9176
image_22.jpg,random_fixed_3,0.1406,0.2946,0.4813
image_22.jpg,random_fixed_6,0.4219,0.3929,0.6455
image_22.jpg,random_fixed_9,0.4375,0.4911,0.7110
image_23.jpg,random,0.0469,0.2411,0.3586
image_23.jpg,center_fixed,0.0625,0.1429,0.4141
image_23.jpg,boundary_fixed,0.6562,0.5268,0.7664
image_23.jpg,random_fixed_3,0.1250,0.2411,0.4485
image_23.jpg,random_fixed_6,0.2500,0.2321,0.5248
image_23.jpg,random_fixed_9,0.3906,0.3036,0.6161
image_24.jpg,random,0.0938,0.3571,0.4140
image_24.jpg,center_fixed,0.1875,0.2143,0.4039
image_24.jpg,boundary_fixed,0.5156,0.5089,0.6669
image_24.jpg,random_fixed_3,0.2500,0.2589,0.4944
image_24.jpg,random_fixed_6,0.2500,0.3214,0.5333
image_24.jpg,random_fixed_9,0.3906,0.3839,0.6105
image_25.jpg,random,0.0000,0.2589,0.2449
image_25.jpg,center_fixed,0.2031,0.2768,0.4663
image_25.jpg,boundary_fixed,0.6562,0.5268,0.7306
image_25.jpg,random_fixed_3,0.5312,0.4821,0.6453
image_25.jpg,random_fixed_6,0.5312,0.4286,0.7040
image_25.jpg,random_fixed_9,0.4531,0.3661,0.6634
image_26.jpg,random,0.0156,0.1964,0.1461
image_26.jpg,center_fixed,0.0156,0.2321,0.1548
image_26.jpg,boundary_fixed,0.4688,0.4286,0.4992
image_26.jpg,random_fixed_3,0.1406,0.1696,0.2813
image_26.jpg,random_fixed_6,0.3281,0.3125,0.4216
image_26.jpg,random_fixed_9,0.4531,0.3036,0.5367
image_27.jpg,random,0.0156,0.2589,0.5989
image_27.jpg,center_fixed,0.0625,0.2232,0.6252
image_27.jpg,boundary_fixed,0.6406,0.4375,0.8698
image_27.jpg,random_fixed_3,0.0781,0.2143,0.7112
image_27.jpg,random_fixed_6,0.3906,0.2143,0.7894
image_27.jpg,random_fixed_9,0.2656,0.3036,0.6907
image_28.jpg,random,0.0000,0.2143,0.1236
image_28.jpg,center_fixed,0.2188,0.3036,0.4057
image_28.jpg,boundary_fixed,0.5469,0.4554,0.6252
image_28.jpg,random_fixed_3,0.2344,0.3036,0.4626
image_28.jpg,random_fixed_6,0.2656,0.2946,0.5105
image_28.jpg,random_fixed_9,0.4062,0.3750,0.6127
image_29.jpg,random,0.0312,0.1339,0.5284
image_29.jpg,center_fixed,0.0469,0.1250,0.6375
image_29.jpg,boundary_fixed,0.5156,0.4196,0.8525
image_29.jpg,random_fixed_3,0.1094,0.1607,0.6707
image_29.jpg,random_fixed_6,0.2344,0.1964,0.6715
image_29.jpg,random_fixed_9,0.1875,0.1339,0.6414
image_3.jpg,random,0.0000,0.3929,0.1463
image_3.jpg,center_fixed,0.0312,0.1875,0.1593
image_3.jpg,boundary_fixed,0.7500,0.6875,0.7869
image_3.jpg,random_fixed_3,0.2656,0.3393,0.4177
image_3.jpg,random_fixed_6,0.5469,0.5179,0.5867
image_3.jpg,random_fixed_9,0.4531,0.3929,0.5474
image_30.jpg,random,0.2188,0.3036,0.6475
image_30.jpg,center_fixed,0.0469,0.2946,0.5868
image_30.jpg,boundary_fixed,0.6719,0.5625,0.9357
image_30.jpg,random_fixed_3,0.4688,0.4554,0.8144
image_30.jpg,random_fixed_6,0.5938,0.4375,0.8701
image_30.jpg,random_fixed_9,0.5000,0.4018,0.8476
image_31.jpg,random,0.0156,0.2411,0.5487
image_31.jpg,center_fixed,0.2344,0.3125,0.7566
image_31.jpg,boundary_fixed,0.6094,0.5000,0.7532
image_31.jpg,random_fixed_3,0.0938,0.1875,0.5874
image_31.jpg,random_fixed_6,0.2500,0.3482,0.6627
image_31.jpg,random_fixed_9,0.4219,0.2857,0.7693
image_32.jpg,random,0.0000,0.2321,0.2948
image_32.jpg,center_fixed,0.2969,0.3125,0.5596
image_32.jpg,boundary_fixed,0.7344,0.5982,0.7894
image_32.jpg,random_fixed_3,0.0781,0.1964,0.3575
image_32.jpg,random_fixed_6,0.4219,0.2857,0.5893
image_32.jpg,random_fixed_9,0.3281,0.2946,0.5677
image_33.jpg,random,0.0469,0.3036,0.3729
image_33.jpg,center_fixed,0.1719,0.2054,0.5203
image_33.jpg,boundary_fixed,0.6719,0.5536,0.8370
image_33.jpg,random_fixed_3,0.2969,0.2589,0.6040
image_33.jpg,random_fixed_6,0.3750,0.3125,0.6513
image_33.jpg,random_fixed_9,0.4219,0.2857,0.6755
image_34.jpg,random,0.0156,0.2054,0.2015
image_34.jpg,center_fixed,0.0312,0.3839,0.2326
image_34.jpg,boundary_fixed,0.7969,0.6964,0.8487
image_34.jpg,random_fixed_3,0.2812,0.2679,0.4287
image_34.jpg,random_fixed_6,0.1719,0.3036,0.3548
image_34.jpg,random_fixed_9,0.5625,0.4821,0.6822
image_35.jpg,random,0.0312,0.2679,0.3795
image_35.jpg,center_fixed,0.1250,0.2054,0.4660
image_35.jpg,boundary_fixed,0.5469,0.4375,0.7314
image_35.jpg,random_fixed_3,0.1719,0.2321,0.4639
image_35.jpg,random_fixed_6,0.3906,0.2679,0.6744
image_35.jpg,random_fixed_9,0.3438,0.3125,0.5830
image_36.jpg,random,0.0781,0.1607,0.2394
image_36.jpg,center_fixed,0.0469,0.2500,0.2052
image_36.jpg,boundary_fixed,0.7812,0.6429,0.8096
image_36.jpg,random_fixed_3,0.1406,0.2143,0.3108
image_36.jpg,random_fixed_6,0.2344,0.1696,0.3743
image_36.jpg,random_fixed_9,0.3594,0.2946,0.5132
image_37.jpg,random,0.0000,0.1875,0.7755
image_37.jpg,center_fixed,0.0938,0.3125,0.9720
image_37.jpg,boundary_fixed,0.5469,0.4643,0.9809
image_37.jpg,random_fixed_3,0.1719,0.2321,0.9428
image_37.jpg,random_fixed_6,0.3125,0.2768,0.9758
image_37.jpg,random_fixed_9,0.2812,0.2589,0.9633
image_38.jpg,random,0.0156,0.2857,0.3643
image_38.jpg,center_fixed,0.2656,0.3214,0.4983
image_38.jpg,boundary_fixed,0.8750,0.7679,0.9339
image_38.jpg,random_fixed_3,0.2031,0.2679,0.4760
image_38.jpg,random_fixed_6,0.3125,0.2054,0.5725
image_38.jpg,random_fixed_9,0.7656,0.6250,0.8653
image_39.jpg,random,0.0156,0.2054,0.2377
image_39.jpg,center_fixed,0.0625,0.1875,0.4032
image_39.jpg,boundary_fixed,0.6250,0.4911,0.7158
image_39.jpg,random_fixed_3,0.1406,0.2946,0.4551
image_39.jpg,random_fixed_6,0.3438,0.3125,0.6391
image_39.jpg,random_fixed_9,0.4062,0.2946,0.6845
image_4.jpg,random,0.0312,0.1786,0.6424
image_4.jpg,center_fixed,0.0938,0.1429,0.6789
image_4.jpg,boundary_fixed,0.6562,0.5625,0.8619
image_4.jpg,random_fixed_3,0.0781,0.2143,0.6994
image_4.jpg,random_fixed_6,0.3125,0.3571,0.7803
image_4.jpg,random_fixed_9,0.4531,0.3661,0.8214
image_40.jpg,random,0.0000,0.3304,0.3617
image_40.jpg,center_fixed,0.1250,0.3661,0.4503
image_40.jpg,boundary_fixed,0.7031,0.6161,0.7513
image_40.jpg,random_fixed_3,0.2031,0.3661,0.5024
image_40.jpg,random_fixed_6,0.5156,0.5000,0.7264
image_40.jpg,random_fixed_9,0.4375,0.3571,0.6704
image_41.jpg,random,0.0156,0.2411,0.0934
image_41.jpg,center_fixed,0.0312,0.2946,0.1753
image_41.jpg,boundary_fixed,0.6562,0.4643,0.6667
image_41.jpg,random_fixed_3,0.1875,0.2679,0.2776
image_41.jpg,random_fixed_6,0.3750,0.3839,0.4536
image_41.jpg,random_fixed_9,0.5312,0.4464,0.6023
image_42.jpg,random,0.0781,0.4018,0.5826
image_42.jpg,center_fixed,0.3750,0.5714,0.8101
image_42.jpg,boundary_fixed,0.9375,0.8661,0.9752
image_42.jpg,random_fixed_3,0.0781,0.4018,0.5887
image_42.jpg,random_fixed_6,0.4844,0.3393,0.7734
image_42.jpg,random_fixed_9,0.5625,0.5446,0.8138
image_43.jpg,random,0.0156,0.2232,0.3415
image_43.jpg,center_fixed,0.2812,0.2589,0.5191
image_43.jpg,boundary_fixed,0.5312,0.5268,0.7270
image_43.jpg,random_fixed_3,0.1875,0.2054,0.5014
image_43.jpg,random_fixed_6,0.3594,0.3214,0.5757
image_43.jpg,random_fixed_9,0.3906,0.3125,0.5859
image_44.jpg,random,0.0312,0.1964,0.1418
image_44.jpg,center_fixed,0.1875,0.2411,0.2684
image_44.jpg,boundary_fixed,0.5938,0.4375,0.6809
image_44.jpg,random_fixed_3,0.2812,0.4196,0.3872
image_44.jpg,random_fixed_6,0.5469,0.4821,0.7015
image_44.jpg,random_fixed_9,0.4219,0.3304,0.5176
image_45.jpg,random,0.0000,0.1964,0.4468
image_45.jpg,center_fixed,0.1094,0.2232,0.5745
image_45.jpg,boundary_fixed,0.5469,0.4018,0.7813
image_45.jpg,random_fixed_3,0.1406,0.2411,0.5668
image_45.jpg,random_fixed_6,0.2344,0.2054,0.5695
image_45.jpg,random_fixed_9,0.4219,0.2857,0.7161
image_46.jpg,random,0.0000,0.1161,0.6208
image_46.jpg,center_fixed,0.0781,0.1518,0.7038
image_46.jpg,boundary_fixed,0.7188,0.5893,0.9395
image_46.jpg,random_fixed_3,0.1250,0.1696,0.7221
image_46.jpg,random_fixed_6,0.2188,0.1161,0.7499
image_46.jpg,random_fixed_9,0.3281,0.2589,0.7869
image_47.jpg,random,0.0156,0.1964,0.1230
image_47.jpg,center_fixed,0.0469,0.1607,0.1494
image_47.jpg,boundary_fixed,0.5938,0.4821,0.6473
image_47.jpg,random_fixed_3,0.1094,0.2411,0.2316
image_47.jpg,random_fixed_6,0.1719,0.2321,0.2827
image_47.jpg,random_fixed_9,0.3125,0.2589,0.4373
image_48.jpg,random,0.1250,0.2857,0.2026
image_48.jpg,center_fixed,0.0625,0.4107,0.1495
image_48.jpg,boundary_fixed,0.9375,0.8839,0.9394
image_48.jpg,random_fixed_3,0.1406,0.3929,0.2421
image_48.jpg,random_fixed_6,0.6094,0.6429,0.6517
image_48.jpg,random_fixed_9,0.5625,0.5625,0.5957
image_49.jpg,random,0.0312,0.2946,0.5982
image_49.jpg,center_fixed,0.0156,0.1964,0.6484
image_49.jpg,boundary_fixed,0.5312,0.3750,0.7880
image_49.jpg,random_fixed_3,0.1406,0.1964,0.6705
image_49.jpg,random_fixed_6,0.3125,0.2589,0.7452
image_49.jpg,random_fixed_9,0.2812,0.1607,0.6518
image_5.jpg,random,0.0000,0.2589,0.4110
image_5.jpg,center_fixed,0.0312,0.1964,0.4913
image_5.jpg,boundary_fixed,0.5312,0.4375,0.7562
image_5.jpg,random_fixed_3,0.1562,0.2321,0.5689
image_5.jpg,random_fixed_6,0.2969,0.2768,0.6652
image_5.jpg,random_fixed_9,0.2969,0.2679,0.7027
image_50.jpg,random,0.0000,0.2321,0.4621
image_50.jpg,center_fixed,0.1094,0.1875,0.6818
image_50.jpg,boundary_fixed,0.6875,0.5804,0.8315
image_50.jpg,random_fixed_3,0.1719,0.1696,0.7107
image_50.jpg,random_fixed_6,0.1875,0.2143,0.7102
image_50.jpg,random_fixed_9,0.3281,0.1786,0.7531
image_51.jpg,random,0.0000,0.2857,0.2086
image_51.jpg,center_fixed,0.0312,0.3750,0.2090
image_51.jpg,boundary_fixed,0.5781,0.4821,0.5969
image_51.jpg,random_fixed_3,0.3438,0.4107,0.4438
image_51.jpg,random_fixed_6,0.2812,0.4107,0.3485
image_51.jpg,random_fixed_9,0.4531,0.5089,0.5491
image_52.jpg,random,0.0781,0.2232,0.2859
image_52.jpg,center_fixed,0.1406,0.1875,0.3080
image_52.jpg,boundary_fixed,0.5781,0.4375,0.6621
image_52.jpg,random_fixed_3,0.2344,0.2232,0.3945
image_52.jpg,random_fixed_6,0.2188,0.2054,0.4550
image_52.jpg,random_fixed_9,0.3594,0.2232,0.5325
image_53.jpg,random,0.1875,0.2500,0.4040
image_53.jpg,center_fixed,0.0156,0.1250,0.2693
image_53.jpg,boundary_fixed,0.7031,0.5000,0.7679
image_53.jpg,random_fixed_3,0.1562,0.2500,0.3921
image_53.jpg,random_fixed_6,0.1719,0.2054,0.3718
